ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
40353377,FOURTRADE COR. DE CAMBIO LTDA,305,Não,RSFN,FOURTRADE CORRETORA DE CÂMBIO LTDA.,19/02/2024
40434681,AZUMI DTVM,463,Não,RSFN,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.,21/12/2021
40473435,REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS IP S.A.,590,Não,RSFN,REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS INSTITUICAO DE PAGAMENTO S.A.,04/03/2024
40475846,J17 - SCD S/A,451,Não,RSFN,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A,18/01/2022
40654622,TRINUS SCD S.A.,444,Não,RSFN,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.,09/09/2021
40768766,LIONS TRUST DTVM,519,Não,RSFN,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,12/12/2022
41592532,MÉRITO DTVM LTDA.,454,Não,RSFN,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,23/11/2021
42047025,UNAVANTI SCD S/A,460,Não,RSFN,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A,18/01/2022
42066258,RJI,506,Não,RSFN,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,21/07/2022
42259084,SBCASH SCD,482,Não,RSFN,SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.,11/10/2022
42272526,BNY MELLON BCO S.A.,017,Não,RSFN,BNY Mellon Banco S.A.,19/11/2012
43180355,PEFISA S.A. - C.F.I.,174,Não,RSFN,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",21/11/2017
43599047,SUPERLÓGICA SCD S.A.,481,Não,RSFN,SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.,29/08/2022
44019481,PEAK SEP S.A.,521,Não,RSFN,PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,27/01/2023
44077014,BR-CAPITAL DTVM S.A.,433,Não,RSFN,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,21/06/2021
44189447,BCO LA PROVINCIA B AIRES BCE,495,Não,RSFN,Banco de La Provincia de Buenos Aires,22/04/2002
44292580,HR DIGITAL SCD,523,Não,RSFN,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,15/02/2023
44478623,ATICCA SCD S.A.,527,Não,RSFN,ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.,06/02/2023
44683140,MAGNUM SCD,511,Sim,RSFN,MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.,22/08/2022
44705774,SOMAPAY SCD S.A.,520,Não,RSFN,SOMAPAY SOCIEDADE DE CRÉDITO DIRETO S.A.,04/09/2023
44728700,ATF CREDIT SCD S.A.,513,Não,RSFN,ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.,02/12/2022
45246410,BANCO GENIAL,125,Sim,RSFN,BANCO GENIAL S.A.,19/11/2012
45331622,BNK DIGITAL SCD S.A.,547,Não,RSFN,BNK DIGITAL SOCIEDADE DE CRÉDITO DIRETO S.A.,01/06/2023
45745537,EAGLE SCD S.A.,532,Não,RSFN,EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.,03/04/2023
45756448,MICROCASH SCMEPP LTDA.,537,Não,RSFN,MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,06/03/2023
45854066,WNT CAPITAL DTVM,524,Não,RSFN,WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,01/03/2023
46026562,MONETARIE SCD,526,Não,RSFN,MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.,20/01/2023
46518205,JPMORGAN CHASE BANK,488,Não,RSFN,"JPMorgan Chase Bank, National Association",22/04/2002
46955383,QI DTVM LTDA.,558,Não,RSFN,QI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,04/03/2024
47593544,RED SCD S.A.,522,Não,RSFN,RED SOCIEDADE DE CRÉDITO DIRETO S.A.,27/03/2023
47873449,SER FINANCE SCD S.A.,530,Não,RSFN,SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.,14/03/2023
48703388,EMBRACRED S/A SCD,594,Não,RSFN,EMBRACRED S/A SOCIEDADE DE CRÉDITO DIRETO,11/03/2024
48707451,PERCAPITAL SCD S.A.,553,Não,RSFN,PERCAPITAL SOCIEDADE DE CRÉDITO DIRETO S.A.,21/09/2023
48795256,BCO ANDBANK S.A.,065,Sim,RSFN,Banco AndBank (Brasil) S.A.,22/04/2002
49288113,KANASTRA SCD,559,Não,RSFN,KANASTRA SOCIEDADE DE CRÉDITO DIRETO S.A.,25/09/2023
49555647,QUADRA SCD,579,Não,Internet,QUADRA SOCIEDADE DE CRÉDITO DIRETO S.A.,07/11/2023
49933388,BRCONDOS SCD S.A.,568,Não,RSFN,BRCONDOS SOCIEDADE DE CRÉDITO DIRETO S.A.,08/12/2023
50579044,LEVYCAM CCV LTDA,145,Não,Internet,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,16/06/2015
50585090,"BCV - BCO, CRÉDITO E VAREJO S.A.",250,Não,RSFN,BCV - BANCO DE CRÉDITO E VAREJO S.A.,22/04/2002
51414521,ALL IN CRED SCD S.A.,572,Não,RSFN,ALL IN CRED SOCIEDADE DE CREDITO DIRETO S.A.,22/12/2023
53518684,BCO HSBC S.A.,269,Não,RSFN,BANCO HSBC S.A.,07/02/2018
54403563,BCO ARBI S.A.,213,Sim,RSFN,Banco Arbi S.A.,22/04/2002
54641030,Câmara B3,0,Não,RSFN,Câmara B3,22/04/2002
55230916,INTESA SANPAOLO BRASIL S.A. BM,139,Não,RSFN,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,08/05/2015
57839805,BCO TRICURY S.A.,018,Sim,RSFN,Banco Tricury S.A.,05/08/2013
58160789,BCO SAFRA S.A.,422,Sim,RSFN,Banco Safra S.A.,22/04/2002
58497702,BCO LETSBANK S.A.,630,Não,RSFN,BANCO LETSBANK S.A.,22/04/2002
58616418,BCO FIBRA S.A.,224,Sim,RSFN,Banco Fibra S.A.,22/04/2002
59109165,BCO VOLKSWAGEN S.A,393,Não,RSFN,Banco Volkswagen S.A.,17/08/2020
59118133,BCO LUSO BRASILEIRO S.A.,600,Sim,RSFN,Banco Luso Brasileiro S.A.,22/04/2002
59274605,BCO GM S.A.,390,Não,RSFN,BANCO GM S.A.,22/07/2020
59285411,BANCO PAN,623,Sim,RSFN,Banco Pan S.A.,22/04/2002
59588111,BCO VOTORANTIM S.A.,655,Sim,RSFN,Banco Votorantim S.A.,22/04/2002
60394079,BCO ITAUBANK S.A.,479,Não,RSFN,Banco ItauBank S.A.,22/04/2002
60498557,BCO MUFG BRASIL S.A.,456,Sim,RSFN,Banco MUFG Brasil S.A.,22/04/2002
60518222,BCO SUMITOMO MITSUI BRASIL S.A.,464,Não,RSFN,Banco Sumitomo Mitsui Brasileiro S.A.,22/04/2002
60701190,ITAÚ UNIBANCO S.A.,341,Sim,RSFN,ITAÚ UNIBANCO S.A.,22/04/2002
60746948,BCO BRADESCO S.A.,237,Sim,RSFN,Banco Bradesco S.A.,22/04/2002
60814191,BCO MERCEDES-BENZ S.A.,381,Não,RSFN,BANCO MERCEDES-BENZ DO BRASIL S.A.,25/05/2020
60850229,OMNI BANCO S.A.,613,Sim,RSFN,Omni Banco S.A.,22/04/2002
60889128,BCO SOFISA S.A.,637,Sim,RSFN,BANCO SOFISA S.A.,22/04/2002
60934221,Câmbio B3,0,Não,RSFN,Câmara de Câmbio B3,22/04/2002
61024352,BANCO VOITER,653,Não,RSFN,BANCO VOITER S.A.,22/04/2002
61033106,BCO CREFISA S.A.,069,Sim,RSFN,Banco Crefisa S.A.,18/11/2005
61088183,BCO MIZUHO S.A.,370,Não,RSFN,Banco Mizuho do Brasil S.A.,22/04/2002
61182408,BANCO INVESTCRED UNIBANCO S.A.,249,Sim,RSFN,Banco Investcred Unibanco S.A.,22/04/2002
61186680,BCO BMG S.A.,318,Sim,RSFN,Banco BMG S.A.,22/04/2002
61348538,BCO C6 CONSIG,626,Não,RSFN,BANCO C6 CONSIGNADO S.A.,22/04/2002
61384004,AVENUE SECURITIES DTVM LTDA.,508,Não,RSFN,AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,18/08/2022
61533584,BCO SOCIETE GENERALE BRASIL,366,Sim,RSFN,BANCO SOCIETE GENERALE BRASIL S.A.,22/04/2002
61723847,NEON CTVM S.A.,113,Não,RSFN,NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,28/11/2011
61747085,TULLETT PREBON BRASIL CVC LTDA,131,Não,RSFN,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA,15/07/2013
61809182,C.SUISSE HEDGING-GRIFFO CV S/A,011,Não,RSFN,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A,28/06/2011
61820817,BCO PAULISTA S.A.,611,Sim,RSFN,Banco Paulista S.A.,22/04/2002
62073200,BOFA MERRILL LYNCH BM S.A.,755,Sim,RSFN,Bank of America Merrill Lynch Banco Múltiplo S.A.,09/11/2007
62109566,CREDISAN CC,089,Sim,RSFN,CREDISAN COOPERATIVA DE CRÉDITO,30/08/2010
62144175,BCO PINE S.A.,643,Sim,RSFN,Banco Pine S.A.,22/04/2002
62169875,NU INVEST CORRETORA DE VALORES S.A.,140,Não,RSFN,NU INVEST CORRETORA DE VALORES S.A.,26/05/2015
62232889,BCO DAYCOVAL S.A,707,Sim,RSFN,Banco Daycoval S.A.,22/04/2002
62237649,CAROL DTVM LTDA.,288,Não,Internet,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,05/07/2018
62285390,SINGULARE CTVM S.A.,363,Não,RSFN,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,01/06/2020
62287735,RENASCENCA DTVM LTDA,101,Não,RSFN,RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,22/04/2010
62331228,DEUTSCHE BANK S.A.BCO ALEMAO,487,Sim,RSFN,DEUTSCHE BANK S.A. - BANCO ALEMAO,22/04/2002
62421979,BANCO CIFRA,233,Não,RSFN,Banco Cifra S.A.,22/04/2002
65913436,GUIDE,177,Não,RSFN,Guide Investimentos S.A. Corretora de Valores,08/05/2017
67030395,TRUSTEE DTVM LTDA.,438,Não,RSFN,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,04/05/2021
68757681,SIMPAUL,365,Não,RSFN,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.,17/03/2020
68900810,BCO RENDIMENTO S.A.,633,Sim,RSFN,Banco Rendimento S.A.,22/04/2002
70119680,CENTRAL SICREDI NORDESTE,581,Não,RSFN,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE",22/03/2024
71027866,BCO BS2 S.A.,218,Sim,RSFN,Banco BS2 S.A.,22/04/2002
71590442,LASTRO RDV DTVM LTDA,293,Não,Internet,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.,10/09/2018
71677850,FRENTE CC S.A.,285,Não,RSFN,FRENTE CORRETORA DE CÂMBIO S.A.,25/09/2018
73302408,EXIM CC LTDA.,514,Não,Internet,EXIM CORRETORA DE CAMBIO LTDA,01/11/2023
73622748,B&T CC LTDA.,080,Não,RSFN,B&T CORRETORA DE CAMBIO LTDA.,18/11/2010
74014747,ÁGORA CTVM S.A.,565,Não,RSFN,ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,20/11/2023
74828799,NOVO BCO CONTINENTAL S.A. - BM,753,Sim,RSFN,Novo Banco Continental S.A. - Banco Múltiplo,22/04/2002
75647891,BCO CRÉDIT AGRICOLE BR S.A.,222,Sim,RSFN,BANCO CRÉDIT AGRICOLE BRASIL S.A.,22/04/2002
76461557,CCR COOPAVEL,281,Sim,RSFN,Cooperativa de Crédito Rural Coopavel,05/11/2018
76543115,BANCO SISTEMA,754,Não,RSFN,Banco Sistema S.A.,15/07/2015
78157146,CREDIALIANÇA CCR,098,Sim,RSFN,Credialiança Cooperativa de Crédito Rural,18/01/2011
78626983,BCO VR S.A.,610,Sim,RSFN,Banco VR S.A.,22/04/2002
78632767,BCO OURINVEST S.A.,712,Não,RSFN,Banco Ourinvest S.A.,28/01/2014
80230774,"CCC POUP E INV DOS ESTADOS DO PR, SP E RJ",584,Não,RSFN,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ",28/02/2024
80271455,BCO RNX S.A.,720,Não,RSFN,BANCO RNX S.A.,24/02/2021
81723108,CREDICOAMO,010,Sim,RSFN,CREDICOAMO CREDITO RURAL COOPERATIVA,10/12/2012
82096447,CREDIBRF COOP,440,Não,RSFN,CREDIBRF - COOPERATIVA DE CRÉDITO,02/09/2021
87437687,CCCPOUPINV SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE,580,Não,RSFN,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE",21/02/2024
89960090,RB INVESTIMENTOS DTVM LTDA.,283,Não,RSFN,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA,05/07/2018
90400888,BCO SANTANDER (BRASIL) S.A.,033,Sim,RSFN,BANCO SANTANDER (BRASIL) S.A.,22/04/2002
91884981,BANCO JOHN DEERE S.A.,217,Não,RSFN,Banco John Deere S.A.,22/04/2002
92702067,BCO DO ESTADO DO RS S.A.,041,Sim,RSFN,Banco do Estado do Rio Grande do Sul S.A.,22/04/2002
92825397,COOPCRECE,543,Não,RSFN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS ELETRICITÁRIOS E DOS TRABALHADORES DAS EMPRESAS DO SETOR DE ENERGIA - COOPCRECE,23/06/2023
92856905,ADVANCED CC LTDA,117,Não,RSFN,ADVANCED CORRETORA DE CÂMBIO LTDA,03/10/2011
92874270,BCO DIGIMAIS S.A.,654,Sim,RSFN,BANCO DIGIMAIS S.A.,22/04/2002
92875780,WARREN CVMC LTDA,371,Não,RSFN,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.,13/05/2020
92894922,BANCO ORIGINAL,212,Sim,RSFN,Banco Original S.A.,22/04/2002
94968518,EFX CC LTDA.,289,Não,RSFN,EFX CORRETORA DE CÂMBIO LTDA.,14/03/2019
