ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,332,Não,RSFN,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,16/08/2019
13203354,FITBANK IP,450,Não,RSFN,FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.,30/06/2021
13220493,BR PARTNERS BI,126,Não,RSFN,BR Partners Banco de Investimento S.A.,04/01/2013
13293225,ÓRAMA DTVM S.A.,325,Não,RSFN,Órama Distribuidora de Títulos e Valores Mobiliários S.A.,31/05/2019
13370835,DOCK IP S.A.,301,Não,RSFN,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.,26/09/2018
13486793,BRL TRUST DTVM SA,173,Não,RSFN,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.,28/11/2016
13673855,FRAM CAPITAL DTVM S.A.,331,Não,RSFN,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.,27/09/2019
13720915,BCO WESTERN UNION,119,Não,RSFN,Banco Western Union do Brasil S.A.,10/10/2011
13884775,HUB IP S.A.,396,Não,RSFN,HUB INSTITUIÇÃO DE PAGAMENTO S.A.,13/08/2020
13935893,CELCOIN IP S.A.,509,Não,RSFN,CELCOIN INSTITUICAO DE PAGAMENTO S.A.,23/01/2023
14388334,PARANA BCO S.A.,254,Sim,RSFN,PARANÁ BANCO S.A.,22/04/2002
14511781,BARI CIA HIPOTECÁRIA,268,Não,Internet,BARI COMPANHIA HIPOTECÁRIA,21/12/2017
15111975,IUGU IP S.A.,401,Não,RSFN,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.,03/11/2020
15114366,BCO BOCOM BBM S.A.,107,Sim,RSFN,Banco Bocom BBM S.A.,22/04/2002
15124464,BANCO BESA S.A.,334,Não,RSFN,BANCO BESA S.A.,22/02/2023
15173776,SOCIAL BANK S/A,412,Não,RSFN,SOCIAL BANK BANCO MÚLTIPLO S/A,22/04/2002
